"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",2.72618277996598,-0.280207810428268,1.76108374585991,-0.159111008256707,0.873581415374268,1
"A1BG-AS1",7.12559518025308,2.20721863732203,0.940411377455543,2.34707776855494,0.0189213050407737,1
"A1CF",1.01652985765979,0,6.00631008342227,0,1,1
"A2M",1.3695874721738,1.53713013222641,5.95484006186918,0.258131220361259,0.796305637472022,1
"A2M-AS1",5.12947319821633,-5.69858808369268,1.98849974727667,-2.86577259639944,0.00415992949705831,1
"A2ML1",114.31224786463,-0.221121987551017,0.185819959681524,-1.18997974130441,0.234054354640123,1
"A2MP1",0.695579160025514,0,6.00631008342226,0,1,1
"A3GALT2",0.0655613204836606,-0.153964963076778,5.95954162259723,-0.0258350344417393,0.979388917724352,1
"A4GALT",19.6908259895567,-0.280599555823909,0.485014292512657,-0.578538736189072,0.562900452850583,1
"A4GNT",0.0279943366770715,0,6.00631008342227,0,1,1
"AAAS",760.868486662415,-0.111253936512842,0.0840559701422924,-1.32356971580375,0.185645988491211,1
"AACS",797.437474713563,0.137370544554654,0.0802727046743283,1.71129831879934,0.0870260565631649,1
"AACSP1",4.01744508866311,1.84176200636448,1.97310881527423,0.933431543210914,0.350597200444353,1
"AADAC",4.57966019101168,-3.77076063491032,2.70207414951286,-1.39550598031891,0.162863312662395,1
"AADACL2",0.929797242978919,0,6.00631008342227,0,1,1
"AADACL2-AS1",6.31251141375616,-1.35015568452618,1.34969830226713,-1.00033887740562,0.317146538827599,1
"AADACL3",0.00595193630330389,0,6.00631008342227,0,1,1
"AADACP1",4.62391744011638,-0.613021445752099,1.85222917581949,-0.330964145125766,0.74067156875181,1
"AADAT",64.7269603398522,-0.258817851147859,0.250152737996436,-1.03463928966289,0.300837398104422,1
"AAED1",164.868526710511,-0.0729076065837243,0.263985712703482,-0.276180122920579,0.782409723345696,1
"AAGAB",2058.07589737231,0.134982971321724,0.133306110788745,1.0125790222448,0.311261284066563,1
"AAK1",1009.27827110697,0.0336169252956516,0.277081606694257,0.121324997702737,0.903433620963949,1
"AAMDC",58.2052625658092,0.123531001793851,0.32672736567105,0.378085874564369,0.705366801318401,1
"AAMP",1641.65172313143,-0.00807247766480022,0.0978203911985319,-0.0825234653623157,0.934230459310922,1
