,network,experiment,cellType,data,design,method,designANDmethod,expDesign,combination,numberOfDiffExp,numberOfNodes,connectivity
74,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1474,5,5,0.0
75,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1745,3,3,
76,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X925,7,2,
77,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1840,4,3,
78,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X555,1,1,
79,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1496,3,2,
80,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X877,3,1,
81,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1104,3,1,
82,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1287,3,2,
83,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1466,2,0,
84,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X206,8,3,
85,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X244,4,2,
86,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X278,2,2,
87,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X540,12,6,0.0
88,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1804,1,1,
89,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1489,10,3,
90,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X550,24,8,0.0
91,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1078,9,4,
92,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X112,4,2,
93,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1767,4,3,
94,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X999,8,6,0.0
95,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X85,3,3,
96,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X398,6,3,
97,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1012,9,5,0.0
98,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1986,3,3,
99,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1264,3,2,
100,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X4,17,3,
101,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1838,8,3,
102,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1533,7,4,
103,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X589,3,1,
104,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1622,5,5,0.0
105,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X51,2,0,
106,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X558,10,4,
107,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1193,3,2,
108,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X901,2,1,
109,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1677,4,4,
110,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X389,2,2,
111,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X236,12,1,
112,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1997,3,2,
113,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1148,5,2,
114,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1007,4,4,
115,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X700,4,2,
116,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X267,4,3,
117,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X866,5,3,
118,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1601,6,2,
119,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X272,3,2,
120,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X671,6,2,
121,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X810,5,2,
122,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1247,5,2,
123,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X257,4,3,
124,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1028,15,6,0.0
125,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X623,3,1,
126,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X2019,11,2,
127,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X816,3,3,
128,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X335,3,2,
129,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X991,9,4,
130,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X318,2,1,
131,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1979,13,1,
132,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1205,4,3,
133,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X800,6,3,
134,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X382,2,1,
135,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X618,4,2,
136,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X146,4,1,
137,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1516,1,0,
138,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1444,2,1,
139,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X351,2,2,
140,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X741,8,6,0.0
141,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1333,6,3,
142,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X218,2,1,
143,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X655,2,1,
144,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1319,6,2,
145,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X491,2,2,
146,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1935,3,1,
147,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1477,4,3,
148,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X826,3,3,
149,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X900,2,2,
150,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X139,5,1,
151,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X2003,18,4,
152,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X469,5,3,
153,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X584,11,3,
154,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X924,1,0,
155,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X37,16,3,
156,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X7,5,0,
157,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X259,3,2,
158,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1744,2,2,
159,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1969,20,3,
160,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X2,17,6,0.0
161,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1758,4,2,
162,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1198,3,0,
163,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1368,1,0,
164,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1209,1,1,
165,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X396,5,3,
166,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1472,3,3,
167,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X883,12,3,
168,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X168,14,2,
169,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X69,9,1,
170,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1114,1,1,
171,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X970,6,4,
172,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X720,4,2,
173,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1405,5,5,0.0
174,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X387,2,2,
175,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X998,4,4,
176,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1875,17,4,
177,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1361,11,3,
178,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1595,2,2,
179,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1386,7,3,
180,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X2000,10,2,
181,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X2047,14,2,
182,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1636,11,6,0.0
183,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X22,3,2,
184,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1183,6,3,
185,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1609,6,3,
186,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X893,13,5,0.0
187,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1960,3,2,
188,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1970,10,1,
189,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1785,14,3,
190,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X587,7,3,
191,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X479,8,4,
192,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1280,4,2,
193,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1670,14,9,0.2222222222222222
194,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1309,4,3,
195,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X597,6,2,
196,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X248,2,1,
197,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X579,5,2,
198,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X539,2,1,
199,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1712,2,2,
200,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X947,6,1,
201,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X201,7,3,
202,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1811,13,3,
203,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1841,11,1,
204,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X13,21,5,0.0
205,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X208,3,2,
206,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X608,11,6,0.0
207,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X639,4,3,
208,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X44,22,6,0.0
209,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X273,10,4,
210,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1810,9,2,
211,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1488,5,3,
212,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1723,3,2,
213,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X721,7,2,
214,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1651,12,4,
215,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1429,5,3,
216,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1261,3,1,
217,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X243,1,0,
218,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1967,5,2,
219,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X568,9,4,
220,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X2040,19,2,
221,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1759,5,4,
222,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X825,4,3,
223,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X320,5,5,0.0
224,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1324,4,1,
225,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X11,7,1,
226,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1669,4,4,
227,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X832,4,4,
228,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1313,4,1,
229,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X326,4,4,
230,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1671,4,4,
231,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1729,4,3,
232,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1122,9,3,
233,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X386,6,6,0.0
234,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1312,6,3,
235,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1877,12,2,
236,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X459,5,4,
237,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1683,6,2,
238,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1471,3,0,
239,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1537,7,3,
240,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X2004,2,1,
241,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X228,12,4,
242,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1482,4,2,
243,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X64,9,5,0.0
244,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1279,3,1,
245,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1260,4,1,
246,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X622,4,3,
247,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X2017,10,2,
248,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X677,4,3,
249,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1687,5,3,
250,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1469,3,2,
251,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X809,3,1,
252,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1845,9,4,
253,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1043,1,0,
254,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X211,2,1,
255,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X725,8,3,
256,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X653,6,2,
257,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1005,4,4,
258,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1859,11,2,
259,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X971,10,7,0.0
260,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1578,8,3,
261,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X870,7,4,
262,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1420,2,1,
263,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X376,5,4,
264,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1443,3,1,
265,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1363,15,4,
266,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X885,4,2,
267,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X794,2,1,
268,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X221,4,1,
269,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X2027,11,1,
270,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1000,4,3,
271,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X891,10,2,
272,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X2033,23,5,0.0
273,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X417,3,2,
274,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X763,2,2,
275,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X344,4,3,
276,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1999,4,2,
277,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1294,7,3,
278,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1111,2,2,
279,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X73,5,3,
280,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X817,3,1,
281,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X53,6,2,
282,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1286,6,2,
283,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X956,4,0,
284,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1435,12,4,
285,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1637,6,4,
286,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1751,5,3,
287,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1929,2,1,
288,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X304,5,4,
289,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1987,12,4,
290,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1569,8,4,
291,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X788,2,2,
292,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X48,6,4,
293,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X845,1,1,
294,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X445,4,2,
295,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1013,15,7,0.0
296,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1994,11,2,
297,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1632,8,2,
298,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1954,4,3,
299,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1110,2,2,
300,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X647,6,4,
301,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X553,7,3,
302,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1175,6,3,
303,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1399,13,2,
304,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X46,19,3,
305,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1715,5,3,
306,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X225,3,1,
307,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X749,7,5,0.0
308,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X219,1,0,
309,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X755,5,2,
310,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1884,2,2,
311,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X141,21,5,0.0
312,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1685,6,4,
313,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X486,4,4,
314,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X681,6,1,
315,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1240,1,0,
316,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1248,4,2,
317,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X556,19,5,0.0
318,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1414,2,2,
319,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X349,6,4,
320,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X923,12,1,
321,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1666,5,3,
322,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1934,8,3,
323,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1252,3,1,
