,network,experiment,cellType,data,design,method,designANDmethod,expDesign,combination,numberOfDiffExp,numberOfNodes,connectivity
0,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X45,20,4,
1,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X708,11,4,
2,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X850,3,2,
3,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1774,5,1,
4,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X955,10,1,
5,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1164,14,4,
6,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X533,7,3,
7,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1515,11,2,
8,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X960,3,3,
9,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X715,7,4,
10,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1942,3,1,
11,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1165,5,2,
12,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X739,6,4,
13,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1806,8,4,
14,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X419,2,1,
15,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X552,14,5,0.0
16,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X187,1,0,
17,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1323,5,3,
18,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X88,2,1,
19,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X943,4,1,
20,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1234,4,4,
21,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1976,3,1,
22,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X773,1,1,
23,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1498,17,2,
24,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X849,10,4,
25,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X656,3,2,
26,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X144,3,2,
27,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1892,2,1,
28,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1254,3,1,
29,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1115,5,3,
30,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1384,6,2,
31,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1748,5,3,
32,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X325,5,4,
33,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X795,3,1,
34,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1548,6,3,
35,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X274,5,4,
36,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X296,7,4,
37,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1805,4,3,
38,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1928,3,1,
39,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1724,3,3,
40,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1144,2,0,
41,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X982,5,4,
42,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1882,14,4,
43,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X136,19,4,
44,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1856,2,1,
45,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X802,7,4,
46,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X428,2,2,
47,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X575,5,3,
48,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X707,7,3,
49,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X889,14,7,0.0
50,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1060,17,4,
51,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1684,7,5,0.0
52,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X762,5,3,
53,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X60,13,4,
54,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1433,2,2,
55,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1894,5,1,
56,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1091,4,1,
57,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1608,4,2,
58,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1570,14,5,0.0
59,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X499,10,2,
60,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X156,12,1,
61,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1904,13,5,0.0
62,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1973,19,6,0.0
63,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1056,10,5,0.0
64,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1835,10,1,
65,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1931,11,2,
66,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1944,3,1,
67,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1226,5,2,
68,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X649,7,2,
69,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X299,7,4,
70,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X1844,6,3,
71,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X473,15,6,0.0
72,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X452,4,4,
73,String850,Experiment2,HDF,Methylation,,Champ,Champ,Y-X,X631,5,4,
